order_id,product,category,sub_category,price,quantity,discount_percent,final_price,cost_price,profit,date,customer_id,region
10000,Laptop,Electronics,Computers,161958.0,4,30,113370.6,124642.58,-45087.93,12-04-2024,C122,North
10001,Shoes,Fashion,Footwear,1466.0,3,0,1466.0,1187.24,836.27,31-05-2024,C131,South
10002,Camera,Electronics,Cameras,92221.0,1,30,64554.7,73752.16,-9197.46,21-01-2024,C161,South
10003,Laptop,Electronics,Computers,125305.0,2,0,125305.0,69784.7,111040.6,18-06-2024,C476,North
10004,Backpack,Accessories,Bags,3247.0,4,5,3084.65,1874.11,4842.16,17-04-2024,C567,North
10005,Phone,Electronics,Mobiles,81803.0,4,10,73622.7,66095.36,30109.35,13-03-2024,C167,North
10006,Camera,Electronics,Cameras,112313.0,4,20,89850.4,80751.53,36395.49,30-03-2024,C565,South
10007,Phone,Electronics,Mobiles,38483.0,3,15,32710.55,30784.8,5777.24,21-03-2024,C562,South
10008,Backpack,Accessories,Bags,4443.0,4,5,4220.85,3136.85,4336.01,23-02-2024,C477,South
10009,Tablet,Electronics,Computers,65758.0,2,15,55894.3,54700.77,2387.06,14-01-2024,C271,East
10010,Phone,Electronics,Mobiles,55397.0,3,10,49857.3,46442.16,10245.41,22-03-2024,C53,South
10011,Backpack,Accessories,Bags,5387.0,2,30,3770.9,3943.88,-345.96,05-06-2024,C15,East
10012,Shoes,Fashion,Footwear,1064.0,1,30,744.8,831.7,-86.9,03-03-2024,C139,South
10013,Camera,Electronics,Cameras,112538.0,1,15,95657.3,88573.33,7083.97,10-02-2024,C28,East
10014,Laptop,Electronics,Computers,62662.0,1,15,53262.7,40684.52,12578.18,30-05-2024,C574,North
10015,Backpack,Accessories,Bags,1304.0,3,10,1173.6,824.67,1046.79,10-04-2024,C462,North
10016,Watch,Accessories,Watches,30266.0,1,15,25726.1,18789.0,6937.1,27-01-2024,C393,East
10017,Shoes,Fashion,Footwear,1206.0,3,0,1206.0,822.25,1151.24,05-04-2024,C743,North
10018,Tablet,Electronics,Computers,76560.0,4,10,68904.0,58082.61,43285.55,22-05-2024,C171,North
10019,Backpack,Accessories,Bags,5136.0,4,20,4108.8,3747.53,1445.07,28-01-2024,C578,North
10020,Shoes,Fashion,Footwear,3693.0,4,20,2954.4,2237.85,2866.2,15-03-2024,C640,East
10021,Camera,Electronics,Cameras,51105.0,3,20,40884.0,32983.22,23702.34,30-04-2024,C283,North
10022,Phone,Electronics,Mobiles,76373.0,1,20,61098.4,61726.12,125.54,03-06-2024,C649,South
10023,Shoes,Fashion,Footwear,5413.0,1,15,4601.05,3414.65,1186.4,28-02-2024,C374,North
10024,Camera,Electronics,Cameras,86087.0,4,10,77478.3,57777.36,78803.75,21-02-2024,C268,North
10025,Backpack,Accessories,Bags,4081.0,3,10,3672.9,2612.92,3179.95,21-03-2024,C699,East
10026,Tablet,Electronics,Computers,46736.0,2,10,42062.4,26426.57,31271.65,08-05-2024,C403,East
10027,Headphones,Electronics,Audio,6749.0,1,10,6074.1,5707.6,366.5,08-03-2024,C439,East
10028,Watch,Accessories,Watches,15688.0,3,20,12550.4,10841.82,5125.73,18-05-2024,C511,South
10029,Shoes,Fashion,Footwear,7287.0,1,0,7287.0,5118.82,2168.18,03-01-2024,C660,North
10030,Headphones,Electronics,Audio,4311.0,3,5,4095.45,3290.78,2414.01,27-05-2024,C711,South
10031,Headphones,Electronics,Audio,3343.0,1,15,2841.55,2226.51,615.04,08-05-2024,C779,West
10032,Backpack,Accessories,Bags,4561.0,2,5,4332.95,3411.61,1842.69,29-02-2024,C2,East
10033,Camera,Electronics,Cameras,56616.0,4,30,39631.2,40621.3,-3960.41,09-01-2024,C233,East
10034,Phone,Electronics,Mobiles,57642.0,4,20,46113.6,46511.17,-1590.29,09-06-2024,C628,South
10035,Phone,Electronics,Mobiles,27874.0,1,0,27874.0,22844.59,5029.41,21-04-2024,C510,East
10036,Backpack,Accessories,Bags,598.0,1,0,598.0,357.75,240.25,23-02-2024,C163,East
10037,Laptop,Electronics,Computers,90108.0,1,0,90108.0,50048.02,40059.98,17-02-2024,C504,South
10038,Watch,Accessories,Watches,25399.0,4,20,20319.2,18980.26,5355.75,24-04-2024,C470,South
10039,Tablet,Electronics,Computers,39830.0,2,5,37838.5,33533.0,8610.99,08-01-2024,C283,West
10040,Tablet,Electronics,Computers,50746.0,2,5,48208.7,37731.22,20954.95,01-03-2024,C659,South
10041,Shoes,Fashion,Footwear,8683.0,3,15,7380.55,4889.23,7473.95,06-06-2024,C477,South
10042,Camera,Electronics,Cameras,107989.0,1,20,86391.2,83617.57,2773.63,02-04-2024,C497,East
10043,Backpack,Accessories,Bags,801.0,1,10,720.9,676.12,44.78,08-06-2024,C161,West
10044,Watch,Accessories,Watches,29641.0,1,5,28158.95,23809.55,4349.4,22-06-2024,C792,South
10045,Headphones,Electronics,Audio,14413.0,4,15,12251.05,9477.9,11092.59,09-05-2024,C785,West
10046,Laptop,Electronics,Computers,145864.0,3,15,123984.4,104416.16,58704.72,26-01-2024,C408,North
10047,Laptop,Electronics,Computers,179788.0,4,10,161809.2,125933.38,143503.27,05-03-2024,C776,South
